shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_1_shp,35.0480864,128.9662322,0
1_1_shp,35.0477326,128.9673958,1
1_1_shp,35.0476528,128.9677632,2
1_1_shp,35.0476275,128.9681098,3
1_1_shp,35.0476654,128.9685593,4
1_1_shp,35.0477514,128.9689236,5
1_1_shp,35.0479,128.9692565,6
1_1_shp,35.0480575,128.969439,7
1_1_shp,35.0482294,128.96959,8
1_1_shp,35.0484139,128.969681,9
1_1_shp,35.0486018,128.9697652,10
1_1_shp,35.0512627,128.970702,11
1_1_shp,35.0520098,128.9709839,12
1_1_shp,35.052274,128.9710228,13
1_1_shp,35.0525662,128.9710331,14
1_1_shp,35.0528707,128.970994,15
1_1_shp,35.0539165,128.9707911,16
1_1_shp,35.055437,128.9704999,17
1_1_shp,35.0557548,128.9704844,18
1_1_shp,35.0561032,128.9705152,19
1_1_shp,35.056443,128.9706178,20
1_1_shp,35.0569646,128.9709261,21
1_1_shp,35.0578882,128.9714361,22
1_1_shp,35.0585342,128.9717929,23
1_1_shp,35.058942,128.9720433,24
1_1_shp,35.0592353,128.9724636,25
1_1_shp,35.0594284,128.9728512,26
1_1_shp,35.0596211,128.9733729,27
1_1_shp,35.0597937,128.9739015,28
1_1_shp,35.0600791,128.9742676,29
1_1_shp,35.0605082,128.9746199,30
1_1_shp,35.0608357,128.9749421,31
1_1_shp,35.0611119,128.9753647,32
1_1_shp,35.0613715,128.9758605,33
1_1_shp,35.0620035,128.9772016,34
1_1_shp,35.0628418,128.9783384,35
1_1_shp,35.0630763,128.9791718,36
1_1_shp,35.0632394,128.9794285,37
1_1_shp,35.0634807,128.9795573,38
1_1_shp,35.0637597,128.9795803,39
1_1_shp,35.064285,128.9795722,40
1_1_shp,35.0645662,128.9795894,41
1_1_shp,35.0649489,128.9796708,42
1_1_shp,35.0654404,128.9797852,43
1_1_shp,35.0654549,128.9797885,44
1_1_shp,35.0661871,128.9799589,45
1_1_shp,35.0665502,128.9799523,46
1_1_shp,35.0669172,128.9798431,47
1_1_shp,35.0672737,128.9796106,48
1_1_shp,35.0675605,128.9793278,49
1_1_shp,35.0680732,128.9788118,50
1_1_shp,35.0684862,128.9784163,51
1_1_shp,35.0689808,128.9780488,52
1_1_shp,35.0694155,128.977818,53
1_1_shp,35.0727552,128.9766405,54
1_1_shp,35.0731135,128.9765957,55
1_1_shp,35.073489,128.9766345,56
1_1_shp,35.0738716,128.9767183,57
1_1_shp,35.0746268,128.9768508,58
1_1_shp,35.0779931,128.9774413,59
1_1_shp,35.0785025,128.9774801,60
1_1_shp,35.0790944,128.9774692,61
1_1_shp,35.0805621,128.9773569,62
1_1_shp,35.0806395,128.9773698,63
1_1_shp,35.0819349,128.9773868,64
1_1_shp,35.0821966,128.9773723,65
1_1_shp,35.0851233,128.9775297,66
1_1_shp,35.0892323,128.9777925,67
1_1_shp,35.0893656,128.9777756,68
1_1_shp,35.0894925,128.9776814,69
1_1_shp,35.0895658,128.9774662,70
1_1_shp,35.0897214,128.974734,71
1_1_shp,35.0897855,128.9734415,72
1_1_shp,35.0898458,128.9722262,73
1_1_shp,35.0900538,128.9660648,74
1_1_shp,35.0900443,128.9651344,75
1_1_shp,35.090074,128.9624421,76
1_1_shp,35.0903324,128.9617093,77
1_1_shp,35.090751,128.9611297,78
1_1_shp,35.0912409,128.9608401,79
1_1_shp,35.091655,128.9607703,80
1_1_shp,35.0922674,128.9607322,81
1_1_shp,35.0925123,128.9607246,82
1_1_shp,35.0925834,128.9607161,83
1_1_shp,35.0930364,128.9606948,84
1_1_shp,35.0935273,128.9606983,85
1_1_shp,35.0936652,128.9606944,86
1_1_shp,35.0938014,128.9606921,87
1_1_shp,35.0939697,128.9606859,88
1_1_shp,35.0941267,128.9606826,89
1_1_shp,35.0944768,128.9606754,90
1_1_shp,35.094938,128.960669,91
1_1_shp,35.0959648,128.9606546,92
1_1_shp,35.0967532,128.9606312,93
1_1_shp,35.0975998,128.9606466,94
1_1_shp,35.0982817,128.9606613,95
1_1_shp,35.0983152,128.960662,96
1_1_shp,35.0990149,128.9606804,97
1_1_shp,35.1002876,128.9606786,98
1_1_shp,35.1018495,128.9607274,99
1_1_shp,35.1024349,128.9607664,100
1_1_shp,35.103289,128.9608933,101
1_1_shp,35.104332,128.9610884,102
1_1_shp,35.1044013,128.9611014,103
1_1_shp,35.1048509,128.9613323,104
1_1_shp,35.1054336,128.9617064,105
1_1_shp,35.1058886,128.9621812,106
1_1_shp,35.1061441,128.9625715,107
1_1_shp,35.1062492,128.9630496,108
1_1_shp,35.1062904,128.9635277,109
1_1_shp,35.1062851,128.9653848,110
1_1_shp,35.1063489,128.9671151,111
1_1_shp,35.1063143,128.9681786,112
1_1_shp,35.1061893,128.9685038,113
1_1_shp,35.1059551,128.9687055,114
1_1_shp,35.1051968,128.9694568,115
1_1_shp,35.1048264,128.9702978,116
1_1_shp,35.1039879,128.9727725,117
1_1_shp,35.1032559,128.9750489,118
1_1_shp,35.1026768,128.9766684,119
1_1_shp,35.1021904,128.9775518,120
1_1_shp,35.1012221,128.979092,121
1_1_shp,35.1006198,128.9800094,122
1_1_shp,35.1004345,128.98057,123
1_1_shp,35.1001912,128.9817073,124
1_1_shp,35.0998749,128.98326,125
1_1_shp,35.0991455,128.9869126,126
1_1_shp,35.0993247,128.9899437,127
1_1_shp,35.099694,128.9915206,128
1_1_shp,35.1002548,128.9934471,129
1_1_shp,35.1004167,128.9942441,130
1_1_shp,35.1007362,128.9950466,131
1_1_shp,35.1015681,128.99677,132
1_1_shp,35.1028704,128.9992555,133
1_1_shp,35.1032306,128.9999733,134
1_1_shp,35.1037522,129.0008659,135
1_1_shp,35.1058072,129.0041451,136
1_1_shp,35.108354,129.0086134,137
1_1_shp,35.1098107,129.0101812,138
1_1_shp,35.1106627,129.0112227,139
1_1_shp,35.1115971,129.0136416,140
1_1_shp,35.1120185,129.0151983,141
1_1_shp,35.1118811,129.0162398,142
1_1_shp,35.1115696,129.0168109,143
1_1_shp,35.110979,129.0174865,144
1_1_shp,35.1103458,129.0178257,145
1_1_shp,35.109462,129.0182992,146
1_1_shp,35.1092323,129.0185357,147
1_1_shp,35.1078421,129.0202128,148
1_1_shp,35.1075339,129.0203458,149
1_1_shp,35.105231,129.020235,150
1_1_shp,35.1020697,129.0199986,151
1_1_shp,35.1007619,129.0198883,152
1_1_shp,35.0996155,129.0197917,153
1_1_shp,35.0990231,129.0199838,154
1_1_shp,35.098201,129.0206044,155
1_1_shp,35.0969074,129.0221855,156
1_1_shp,35.0966475,129.0228062,157
1_1_shp,35.0966051,129.0238849,158
1_1_shp,35.0972459,129.0261457,159
1_1_shp,35.0973844,129.0266779,160
1_1_shp,35.0983038,129.0302093,161
1_1_shp,35.0983824,129.0307191,162
1_1_shp,35.0978504,129.0328765,163
1_1_shp,35.0977356,129.0337705,164
1_1_shp,35.0978988,129.034502,165
1_1_shp,35.0981345,129.0354625,166
1_1_shp,35.0990171,129.036253,167
1_1_shp,35.0994705,129.0365264,168
1_1_shp,35.1015378,129.0364082,169
1_1_shp,35.1051947,129.0362161,170
1_1_shp,35.1067965,129.0361274,171
1_1_shp,35.1076364,129.036313,172
1_1_shp,35.1093235,129.0371023,173
1_1_shp,35.1132531,129.0387148,174
1_1_shp,35.1147805,129.0393683,175
1_1_shp,35.1156246,129.0398644,176
1_1_shp,35.1165855,129.0404292,177
1_1_shp,35.1239786,129.0443672,178
1_1_shp,35.1250337,129.0449188,179
1_1_shp,35.1301217,129.0500959,180
1_1_shp,35.1323676,129.0522973,181
1_1_shp,35.1350624,129.0549978,182
1_1_shp,35.1368563,129.0568209,183
1_1_shp,35.1377412,129.0583125,184
1_1_shp,35.1384033,129.0590317,185
1_1_shp,35.1388383,129.059246,186
1_1_shp,35.1393453,129.0593998,187
1_1_shp,35.1444269,129.0591795,188
1_1_shp,35.1479309,129.0591426,189
1_1_shp,35.1507642,129.0590909,190
1_1_shp,35.1547693,129.0590465,191
1_1_shp,35.1571554,129.0590317,192
1_1_shp,35.1580554,129.0593421,193
1_1_shp,35.1616313,129.0621349,194
1_1_shp,35.1644823,129.0642849,195
1_1_shp,35.165648,129.0652823,196
1_1_shp,35.1669828,129.066398,197
1_1_shp,35.1685712,129.0675432,198
1_1_shp,35.1695738,129.0683707,199
1_1_shp,35.1711683,129.0696489,200
1_1_shp,35.1740431,129.0719319,201
1_1_shp,35.1776666,129.0748133,202
1_1_shp,35.1789166,129.0757812,203
1_1_shp,35.1809578,129.0774362,204
1_1_shp,35.1855631,129.0811294,205
1_1_shp,35.1858937,129.0813585,206
1_1_shp,35.1863798,129.081417,207
1_1_shp,35.1874474,129.0811879,208
1_1_shp,35.1896783,129.0806371,209
1_1_shp,35.1921734,129.080002,210
1_1_shp,35.1932168,129.0798097,211
1_1_shp,35.1942335,129.0798141,212
1_1_shp,35.1945497,129.0798772,213
1_1_shp,35.1950199,129.0799309,214
1_1_shp,35.1957151,129.0799272,215
1_1_shp,35.196106,129.0799135,216
1_1_shp,35.1967608,129.0798186,217
1_1_shp,35.1973891,129.0796709,218
1_1_shp,35.2002924,129.0789531,219
1_1_shp,35.2017127,129.0786019,220
1_1_shp,35.2019787,129.0785439,221
1_1_shp,35.2021149,129.0785236,222
1_1_shp,35.2023371,129.0784878,223
1_1_shp,35.202558,129.0784643,224
1_1_shp,35.2027552,129.0784598,225
1_1_shp,35.2040225,129.0784666,226
1_1_shp,35.2047243,129.078461,227
1_1_shp,35.205308,129.0784539,228
1_1_shp,35.206495,129.0784395,229
1_1_shp,35.206547,129.078437,230
1_1_shp,35.2077122,129.0784329,231
1_1_shp,35.2092398,129.0784123,232
1_1_shp,35.2095565,129.0784194,233
1_1_shp,35.2100072,129.0784621,234
1_1_shp,35.2102094,129.078495,235
1_1_shp,35.2104022,129.0785345,236
1_1_shp,35.2106461,129.0786078,237
1_1_shp,35.2107914,129.0786525,238
1_1_shp,35.2109294,129.0786959,239
1_1_shp,35.2110992,129.0787618,240
1_1_shp,35.2113298,129.0788718,241
1_1_shp,35.2115395,129.0789706,242
1_1_shp,35.2118372,129.0791586,243
1_1_shp,35.2118819,129.0791962,244
1_1_shp,35.2124368,129.0795385,245
1_1_shp,35.2133606,129.0801657,246
1_1_shp,35.21337,129.0801541,247
1_1_shp,35.2142964,129.0807803,248
1_1_shp,35.2145326,129.0809596,249
1_1_shp,35.2146671,129.0810818,250
1_1_shp,35.2148674,129.0812684,251
1_1_shp,35.2150046,129.0814098,252
1_1_shp,35.2151354,129.0815548,253
1_1_shp,35.2152753,129.0817354,254
1_1_shp,35.2154286,129.0819497,255
1_1_shp,35.2156527,129.0822896,256
1_1_shp,35.2157256,129.082395,257
1_1_shp,35.2160453,129.0829259,258
1_1_shp,35.2161633,129.0830905,259
1_1_shp,35.2162529,129.0832021,260
1_1_shp,35.2164143,129.0833918,261
1_1_shp,35.2165817,129.0835596,262
1_1_shp,35.216803,129.0837495,263
1_1_shp,35.217007,129.0839085,264
1_1_shp,35.2175931,129.0843822,265
1_1_shp,35.2181101,129.0848193,266
1_1_shp,35.2184664,129.0851129,267
1_1_shp,35.2190946,129.0856001,268
1_1_shp,35.2193573,129.0857894,269
1_1_shp,35.2195553,129.0859136,270
1_1_shp,35.2200379,129.0861878,271
1_1_shp,35.2210603,129.0867687,272
1_1_shp,35.221114,129.0868009,273
1_1_shp,35.2221363,129.0873572,274
1_1_shp,35.2233906,129.0880387,275
1_1_shp,35.224431,129.0885397,276
1_1_shp,35.224639,129.0886325,277
1_1_shp,35.224864,129.0887118,278
1_1_shp,35.2251676,129.0888099,279
1_1_shp,35.2255036,129.0888967,280
1_1_shp,35.2256511,129.0889327,281
1_1_shp,35.2258352,129.0889625,282
1_1_shp,35.2260045,129.0889825,283
1_1_shp,35.2263238,129.0890235,284
1_1_shp,35.2269594,129.089111,285
1_1_shp,35.2275089,129.0891815,286
1_1_shp,35.2285005,129.089323,287
1_1_shp,35.2287186,129.0893428,288
1_1_shp,35.2292153,129.0893413,289
1_1_shp,35.2295702,129.0893327,290
1_1_shp,35.2296942,129.0893198,291
1_1_shp,35.2299734,129.0892812,292
1_1_shp,35.2301662,129.089264,293
1_1_shp,35.2304159,129.0892297,294
1_1_shp,35.2305781,129.089203,295
1_1_shp,35.230589,129.0891995,296
1_1_shp,35.2307934,129.0891657,297
1_1_shp,35.2311814,129.0891211,298
1_1_shp,35.2314346,129.0891029,299
1_1_shp,35.231571,129.0891068,300
1_1_shp,35.2317857,129.0891265,301
1_1_shp,35.2321185,129.0891655,302
1_1_shp,35.2325966,129.0892489,303
1_1_shp,35.2329493,129.0893105,304
1_1_shp,35.2333412,129.0893797,305
1_1_shp,35.2336014,129.0894252,306
1_1_shp,35.2338217,129.0894507,307
1_1_shp,35.2340062,129.0894525,308
1_1_shp,35.2341564,129.08945,309
1_1_shp,35.2343713,129.0894311,310
1_1_shp,35.2345749,129.0893982,311
1_1_shp,35.2348794,129.0893239,312
1_1_shp,35.2350333,129.0892675,313
1_1_shp,35.2360898,129.0888299,314
1_1_shp,35.2366492,129.0885895,315
1_1_shp,35.2368174,129.0885172,316
1_1_shp,35.2368544,129.0885013,317
1_1_shp,35.2368581,129.0884997,318
1_1_shp,35.2369562,129.0884576,319
1_1_shp,35.2372764,129.0883267,320
1_1_shp,35.237332,129.0883025,321
1_1_shp,35.2377509,129.0881654,322
1_1_shp,35.2379349,129.088131,323
1_1_shp,35.2380432,129.0881014,324
1_1_shp,35.2381233,129.0880795,325
1_1_shp,35.2384563,129.0880452,326
1_1_shp,35.2385895,129.0880538,327
1_1_shp,35.238706,129.0880538,328
1_1_shp,35.2387822,129.0880624,329
1_1_shp,35.2388384,129.0880673,330
1_1_shp,35.2388511,129.0880691,331
1_1_shp,35.2389099,129.0880759,332
1_1_shp,35.2398412,129.0881826,333
1_1_shp,35.2400246,129.0882104,334
1_1_shp,35.2402064,129.0882591,335
1_1_shp,35.2403593,129.0882977,336
1_1_shp,35.240505,129.0883408,337
1_1_shp,35.2406657,129.0884031,338
1_1_shp,35.2407783,129.0884569,339
1_1_shp,35.2409595,129.0885506,340
1_1_shp,35.2411536,129.0886721,341
1_1_shp,35.2413408,129.0888118,342
1_1_shp,35.2415178,129.088965,343
1_1_shp,35.2417142,129.0891442,344
1_1_shp,35.2418926,129.0893348,345
1_1_shp,35.2420814,129.0895437,346
1_1_shp,35.2422414,129.0897071,347
1_1_shp,35.2424162,129.0898999,348
1_1_shp,35.24254,129.09003,349
1_1_shp,35.2427207,129.0901999,350
1_1_shp,35.2428878,129.0903579,351
1_1_shp,35.2430263,129.090469,352
1_1_shp,35.2432566,129.0906194,353
1_1_shp,35.2434466,129.0907208,354
1_1_shp,35.2435998,129.0907887,355
1_1_shp,35.2437073,129.0908312,356
1_1_shp,35.2438167,129.0908742,357
1_1_shp,35.2439039,129.0909009,358
1_1_shp,35.2440198,129.0909334,359
1_1_shp,35.2441209,129.0909617,360
1_1_shp,35.244279,129.0909911,361
1_1_shp,35.2445753,129.0910271,362
1_1_shp,35.2458721,129.0911344,363
1_1_shp,35.246602,129.0912264,364
1_1_shp,35.2468777,129.0912488,365
1_1_shp,35.2480424,129.091343,366
1_1_shp,35.2502836,129.0914976,367
1_1_shp,35.2510394,129.0915634,368
1_1_shp,35.2521316,129.0916615,369
1_1_shp,35.2525683,129.0916923,370
1_1_shp,35.2528551,129.0917266,371
1_1_shp,35.2530156,129.0917335,372
1_1_shp,35.253373,129.0917523,373
1_1_shp,35.25361,129.0917517,374
1_1_shp,35.2538769,129.0917309,375
1_1_shp,35.2543117,129.0916655,376
1_1_shp,35.2548486,129.0915795,377
1_1_shp,35.2552901,129.0915286,378
1_1_shp,35.2559144,129.091446,379
1_1_shp,35.2563528,129.0913994,380
1_1_shp,35.2563956,129.0913977,381
1_1_shp,35.256863,129.091379,382
1_1_shp,35.2569231,129.0913766,383
1_1_shp,35.2569583,129.091377,384
1_1_shp,35.2569913,129.0913773,385
1_1_shp,35.2570657,129.0913781,386
1_1_shp,35.2600044,129.0914095,387
1_1_shp,35.2603812,129.0914178,388
1_1_shp,35.2605812,129.0914418,389
1_1_shp,35.2635149,129.0920894,390
1_1_shp,35.2652441,129.0924596,391
1_1_shp,35.2659966,129.0926504,392
1_1_shp,35.2664338,129.0927151,393
1_1_shp,35.2667568,129.0927672,394
1_1_shp,35.2671592,129.0927625,395
1_1_shp,35.2708793,129.0926904,396
1_1_shp,35.2731559,129.0926506,397
1_1_shp,35.2746517,129.0926282,398
1_1_shp,35.2749509,129.092649,399
1_1_shp,35.2753335,129.0927037,400
1_1_shp,35.2759106,129.0928242,401
1_1_shp,35.2763872,129.092935,402
1_1_shp,35.2771834,129.0931666,403
1_1_shp,35.2778563,129.0933623,404
1_1_shp,35.2799721,129.093855,405
1_1_shp,35.2804219,129.0939385,406
1_1_shp,35.2808372,129.0940524,407
1_1_shp,35.2812828,129.0941909,408
1_1_shp,35.2818133,129.0943631,409
1_1_shp,35.2826609,129.0946175,410
1_1_shp,35.2841976,129.0951591,411
1_0_shp,35.2841976,129.0951591,0
1_0_shp,35.2826609,129.0946175,1
1_0_shp,35.2818133,129.0943631,2
1_0_shp,35.2812828,129.0941909,3
1_0_shp,35.2808372,129.0940524,4
1_0_shp,35.2804219,129.0939385,5
1_0_shp,35.2799721,129.093855,6
1_0_shp,35.2778563,129.0933623,7
1_0_shp,35.2771834,129.0931666,8
1_0_shp,35.2763872,129.092935,9
1_0_shp,35.2759106,129.0928242,10
1_0_shp,35.2753335,129.0927037,11
1_0_shp,35.2749509,129.092649,12
1_0_shp,35.2746517,129.0926282,13
1_0_shp,35.2731559,129.0926506,14
1_0_shp,35.2708793,129.0926904,15
1_0_shp,35.2671592,129.0927625,16
1_0_shp,35.2667568,129.0927672,17
